,video_id,comments
224,fTQHgW9ylIQ,"['Wow that was very magical! I loved the idea of bringing the manga characters into the anime world! This is a very unique video.', 'First']"
225,JI0hRqlhzuU,[]
226,C5rVB3ngk64,['Ciao darwin']
227,axKSAJAkCxw,"['Great AMV! If you have time please check my channel. Much appreciated :)', 'Love it']"
228,gUcSyhVmh04,[]
229,TYmA-e66200,[]
230,I1biGf7Ee-w,[]
231,tasJNKRADQc,[]
232,StGNlHJcrMc,"[""OMG! Thank you so so much! T T I've been looking for this amv for a lon long time. The best wishes admins T T. Chikaboom is the best!"", 'That was impressive - an AMV which could hold my attention for more than 5 minutes :O']"
233,z048b5lEsAI,[]
234,UZZUVDkYZYE,[]
235,mlDuwyVGKrQ,[]
236,6ZIb1bHAmxI,['😍']
237,U0jAZu5sOwc,"['👏😍', 'Классно сделано']"
238,yLsQyOxG9fc,['Одно из самых любимых)']
239,ncySeXHIx7o,[]
240,JmlDhA_RSV0,[]
241,1rHZ10emMVA,['10:08']
242,Xat0TU_RGt4,[]
243,LQT7KzKSQUQ,[]
244,b2HosJjYGI4,[]
245,TtoTNgFMAwY,"['Sweet', 'Awesome AMV !\nWhat do you think about my last AMV !']"
246,haQsViLmlro,"['Nice, Not racist', 'просто смешно сделано. лайк', 'Awesome']"
247,LjYCKwyu1hk,[]
248,wlVGatMbHhE,[]
249,MqNQB2Nhuu0,[]
250,YTAKwLaY61k,[]
251,AO_tLWdahnA,['👍👍👍']
252,NSL8tqwTalE,['з цього аніме почалась моя історія....)))']
253,QrpJEVqkihg,[]
254,R_2nRznwJHY,[]
255,sEDi4klvE5c,"['Как бы амв классным не было, аниме очень печальное']"
256,4gB1AgQ5_yY,[]
257,3UirALd22_Q,['Oh my childhood.  Remember this amv back in the late 00s. IIchan had it as a slash screen for /azu/ for a week. Was popular but not known. Great editing att.']
258,OkjTUzYDsm0,[]
259,7TkAsVTYzHM,[]
260,bNJH5bCjMp8,"['Epic', 'classic', 'ролик который я уже считаю классическим.']"
261,MqTSoq1w7Nk,[]
262,CQdW9f1joDU,[]
263,_3HevOJkUUg,[]
264,ISXNTMsaZuM,"['I love this video !', 'first comment like me please']"
265,_n1W6w7hTNo,['Very Nice !']
266,gEFh-ko7MX4,[]
267,2ydS4ZRT-n8,[]
268,YEGrrltmpEY,[]
269,nvM5mFGIu1s,['Клип отличный.\nOokami-San To Shichinin No Nakama-Tachi вот именно то анимэ которое я все хотел посмотреть.']
270,Uf61kpsyyXU,['primer comentario y en español']
271,BjPBoB9S3ew,[]
272,fj_KHa-I6O8,[]
273,9Jh0wPRe_3k,[]
274,oPza2yYVzFc,['I totally love it']
275,WP0cmHVYDkE,[]
276,GsR5hyKq6Gs,['Muahahaa Very gooddd!! The legend.']
277,LtdS95O7fLI,[]
278,OeV08t3gN_w,[]
279,5ewvb7TprpE,[]
280,mU2xjv4jnHM,[]
281,OD5tAeZMq1k,[]
282,uY7kNDtWBq8,['Cool']
283,aVvA5z6eLAE,['amazing!']
284,MyDHWBwoytY,[]
285,2nc94jNGTJg,['не обычное видое мне понравилось данное видео.']
286,2w5JNshZKn8,[]
287,xB8UCW7ZM6Q,[]
288,DkgY0W6OsRA,"['Новый клип ,сурьёзно ?Я его лет 5 назад видел.....', 'Классика', '+']"
289,djiCvxh_jl0,['Зачет! Иду смотреть это анимэ =)']
290,K0_pLdlwhiQ,[]
291,XbmIWAD4xpE,['has otro de black porque ahi pocos buenos :P']
292,88KstTM19HM,[]
293,_z86V2ytLyo,['NikkyHD Clockwork 4 lol.']
294,1Hqf8KDiGZA,[]
295,Q8X1hmIJ_9M,[]
296,-aswG5RwEcc,"[""That's really adorable  !!!!"", 'AMZING !!!', 'Nice', 'Someone needs to use this song for a Berserk AMV/MMV about Griffith.']"
297,oif3NzWVipQ,"['с удовольствием пересмотрел. годное старое amv', 'Просто потрясающе, не ожидал.']"
298,vN4t59V9OJE,[]
299,V1n9lwOw4k0,[]
300,xjHhfePyvYc,['I love the surreal touch.']
301,6tm0OIpQCGQ,['This is really well done']
302,Oz_woqwdVKU,['Брат😀']
303,6wjPWAxUOOw,[]
304,kWyGWomIRec,"['Уже классика.', 'а че недоступно то?']"
305,fp1-a6zG8MY,['Гидра 2007 года удивляет =)']
306,BewI1aiAuD0,[]
307,OvWsvPdPDUc,[]
308,JRU0wVwIN-s,"[""These are real Amv's not what people are making now days"", 'perfect (๑•̀ㅂ •́)و ✧', 'Второй раз вижу AMV под данный аудио трек. Отлично.']"
309,ucarwtEXVdI,['nice']
310,drM8TeKWQQc,[]
311,HAySEO8PW3c,[]
312,nQ0-NYl3RuE,[]
313,4yI0eeHTLqM,[]
314,tmdnYn_dKdU,[]
315,9bfRKFEO8wA,['Годная идея. Хорошее исполнение.']
316,U8dL_rjyiCM,[]
317,Jts-cBKs7_M,[]
318,u2bZIxuBSsQ,[]
319,g0TkzAiSFJ8,[]
320,92emeP0onbg,[]
321,dzRRuesGVxI,[]
322,Cv74QdgwRW4,[]
323,cOxGC4_bILQ,[]
324,Y-mSgdAsngw,[]
325,do0jlCpE7bs,[]
326,ZDPLycZigGs,[]
327,LhaZUapPEZQ,[]
328,dPhZSf2dpEE,"['Шедеврально.', 'это божественно']"
329,Q9ChKuYt8DI,"[""Great video. While I don't agree with the song choice per se, the editing makes it appropriate. Good job."", 'Muito bom']"
330,9IspfEtJSqY,['Годнота.']
331,YEsATD7N_t0,[]
332,n5mChFWeyiE,"['Nostromo muy buen editor y con buenos gustos de musica (y)', 'Old but gold', 'че я 1й.']"
333,mRl_lRePUVc,[]
334,6ujO_8id_lk,['great work!']
335,SxMV-c8xGpo,[]
336,-eIOxWYyd1s,['love this']
337,OBnGWGLlgSU,"[""i searched this amv for like 2 years now, and i remember the title was written in japanes on a site that was not youtube, but i finally managed to find it, i'm so happy ahahah, i feel so stupid"", 'This is so cute!! (๑♡⌓♡๑)']"
338,vlnlMiR5u_M,[]
339,g_KXn18PPI4,"['i like it , thanks', 'Aggressor!!!!']"
340,qVP42UpBJVQ,[]
341,bww4QRe0WVk,[]
342,sRAOZOTeHzc,"['really good video', 'Вечная классика...', 'I was into the song until they start singing...']"
343,_sUtQbpMzac,[]
344,tiVaC2a5knk,[]
345,DFkX5VgrINQ,"['Very good, like :) .']"
346,nOLdjjlDt34,[]
347,m9PddDGxyfI,['Wow Good vid ^^']
348,uSa7mOUcK78,[]
349,rxSOsL0AbQA,[]
350,-f1OtlIt2H4,[]
351,8ofgwNoyUSA,[]
352,0Lfvz5PWRco,['arte :D']
353,PUAkAh95l6c,[]
354,7mQArx_K_c4,"['Like!', 'эх, воспоминания']"
355,lJi6632gDJI,[]
356,lL3uJGmhvg4,['Is this stolen?']
357,HXodmTrYjgs,['Perfeito!!!!!!!!!!!!!!!!!!']
358,Cgk9vYQ03lk,[]
359,T9xYfOUyDBY,[':/      4/10']
360,-kKc3rIs6I0,['Great']
361,HgQQzgAEnI8,[]
362,zMwULEl32pU,[]
363,Mjw0bSbiL-s,[]
364,GlZKcssYcZE,[]
365,BcYjeqYF3XM,[]
366,3GIQIp5X6fQ,"['0:20 butt !', ""i did not understand what is going in this amv but she's awesome :D xD"", 'Лайк, если нашёл фрагмент из хентая']"
367,OLsWSxw6024,[]
368,CfPdQ64durc,"['я Джефф я убъю вас это имя не маё он уже мёртв следующее вы ахахахаха☺☺☺☺☺☺☺☺☺☺☺☺😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈', 'Ежжи, книга это игрушка дьявола']"
369,RTgW0hAS2pU,[]
370,97AjUobfYas,[]
371,8nAIGweaHoY,['I just spent two hours looking for this cause it suddenly came back to my mi d at work.']
372,bDilnEv6E5w,"[""This one is a classic. When I think of this movie, I can't help but remember this AMV""]"
373,_HKmohulw_Y,[]
374,zRn6trdCQKk,"['Ностальгия. Наверно, самое лучшее АМВ по финалке']"
375,fOzCCjgjMoM,['Годно на 4 из 5']
376,iMEZmd3CUe4,[]
377,aWHPIAWaEhA,['anime?']
378,Cf2LJwxpjWc,"['Классическое AMV.\nТолько жаль, что оно в таком низком разрешении.']"
379,0ZA0K9huU1g,['а что за аниме 1:40???']
380,73z6o-Nt1rA,"['Слишком больно смотреть', 'За  Кланнад всегда лайк']"
381,YLjOrevQXoE,[]
382,mh_vZn9OnTk,"['Cada tanto, uno descubre algo más allá de su comprensión.', '1:16', 'xd', 'I remember', '0:38', 'xd', 'just lost my remaining neurons', 'No mames hahahahahahaha xD 10/10', 'Ooo\nSo cute)', 'мяу мяу мяу']"
383,GxvdoouVAv0,[]
384,WTDwjMKbINs,[]
